"","category","sellable_online","other_colors","depth","height","width","price","newprice"
"182","Chairs","TRUE","No",42,83,44,55,0
"183","Chairs","TRUE","No",46,83,80,3065,1
"184","Chairs","TRUE","No",46,83,80,1195,1
"185","Cabinets & cupboards","TRUE","Yes",40,83,180,150,0
"186","TV & media furniture","TRUE","Yes",40,230,300,4260,1
"187","Chairs","TRUE","No",53,90,50,375,0
"188","Tables & desks","TRUE","No",46,74,60,439,0
"189","Bookcases & shelving units","TRUE","No",46,197,66,183.6,0
"190","Bookcases & shelving units","TRUE","Yes",40,48,120,510,0
"191","Bookcases & shelving units","TRUE","No",4,110,80,90,0
"192","Bookcases & shelving units","TRUE","No",27,74,60,51,0
"193","Outdoor furniture","TRUE","No",46,48,55,129,0
"194","Chairs","TRUE","Yes",56,83,58,255,0
"195","Children's furniture","TRUE","No",46,83,80,89,0
"196","Bookcases & shelving units","TRUE","No",46,83,25,70,0
"197","Bookcases & shelving units","TRUE","Yes",30,106,80,315,0
"198","Chairs","TRUE","No",56,82,55,345,0
"199","Tables & desks","TRUE","Yes",23,23,58,200,0
"200","Cabinets & cupboards","TRUE","No",35,95,130,663,0
"201","Bookcases & shelving units","TRUE","No",51,173,173,670,0
"202","Chairs","TRUE","No",50,50,90,385,0
"203","Bookcases & shelving units","TRUE","No",30,124,259,990,0
"204","Beds","TRUE","No",46,84,240,695,0
"205","Bookcases & shelving units","TRUE","No",1,4,29,15,0
"206","Beds","TRUE","No",46,83,80,30,0
"207","Cabinets & cupboards","TRUE","Yes",35,123,121,1295,1
"208","Bookcases & shelving units","TRUE","Yes",28,202,80,315,0
"209","Cabinets & cupboards","TRUE","Yes",46,83,80,45,0
"210","Chairs","TRUE","Yes",78,75,83,825,0
"211","Beds","TRUE","No",97,95,160,4841,1
"212","Bookcases & shelving units","TRUE","Yes",42,202,120,1390,1
"213","Sofas & armchairs","TRUE","No",46,83,140,600,0
"214","Tables & desks","TRUE","No",46,45,60,745,0
"215","Bookcases & shelving units","TRUE","No",36,175,300,1035,1
"216","Nursery furniture","TRUE","No",52,139,80,645,0
"217","Wardrobes","TRUE","No",46,236,160,4685,1
"218","Chairs","TRUE","No",51,102,40,395,0
"219","Chairs","TRUE","Yes",93,84,113,1948,1
"220","Outdoor furniture","TRUE","No",94,90,98,1220,1
"221","Trolleys","TRUE","No",46,90,77,1495,1
"222","Bookcases & shelving units","TRUE","No",46,83,80,25,0
"223","Sideboards, buffets & console tables","TRUE","No",46,75,37,445,0
"224","Chairs","TRUE","Yes",69,83,74,370,0
"225","Nursery furniture","TRUE","No",46,86,66,995,0
"226","Children's furniture","TRUE","No",44,56,99,350,0
"227","Sofas & armchairs","TRUE","Yes",80,45,80,680,0
"228","Chairs","TRUE","No",46,74,100,6965,1
"229","Children's furniture","TRUE","Yes",50,140,105,451,0
"230","Bookcases & shelving units","TRUE","Yes",30,237,200,2295,1
"231","Cabinets & cupboards","TRUE","Yes",42,74,120,920,0
"232","Tables & desks","TRUE","Yes",65,73,140,475,0
"233","Tables & desks","TRUE","Yes",46,60,40,175,0
"234","TV & media furniture","TRUE","No",36,62,120,295,0
